candidate,office,district,party,county,precinct,votes,vtd
Jason Conley,State House,33,Libertarian,Wyandotte,Edwardsville 2-1,54,
,Registered Voters,,,Wyandotte,Kansas City 1-1,354,
,Ballots Cast,,,Wyandotte,Kansas City 1-1,102,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 1-1,1,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 1-1,92,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 1-1,6,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 1-1,3,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 1-1,86,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 1-1,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 1-1,5,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 1-1,7,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 1-1,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 1-1,91,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 1-1,6,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 1-1,7,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 1-1,94,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 1-1,93,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 1-1,6,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 1-1,94,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 1-1,7,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 1-1,93,
,Registered Voters,,,Wyandotte,Kansas City 1-2,356,
,Ballots Cast,,,Wyandotte,Kansas City 1-2,154,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 1-2,3,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 1-2,139,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 1-2,12,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 1-2,7,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 1-2,135,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 1-2,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 1-2,9,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 1-2,3,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 1-2,3,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 1-2,131,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 1-2,13,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 1-2,13,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 1-2,133,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 1-2,128,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 1-2,15,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 1-2,136,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 1-2,11,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 1-2,137,
,Registered Voters,,,Wyandotte,Kansas City 1-3,210,
,Ballots Cast,,,Wyandotte,Kansas City 1-3,126,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 1-3,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 1-3,95,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 1-3,26,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 1-3,2,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 1-3,103,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 1-3,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 1-3,17,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 1-3,3,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 1-3,6,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 1-3,92,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 1-3,26,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 1-3,27,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 1-3,96,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 1-3,99,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 1-3,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 1-3,92,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 1-3,27,
Pam Curtis,State House,32,Democratic,Wyandotte,Kansas City 1-3,102,
,Registered Voters,,,Wyandotte,Kansas City 2-1,424,
,Ballots Cast,,,Wyandotte,Kansas City 2-1,204,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 2-1,4,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 2-1,163,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 2-1,35,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 2-1,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 2-1,143,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 2-1,3,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 2-1,37,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 2-1,8,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 2-1,5,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 2-1,147,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 2-1,45,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 2-1,42,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 2-1,157,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 2-1,155,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 2-1,43,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 2-1,153,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 2-1,45,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 2-1,168,
,Registered Voters,,,Wyandotte,Kansas City 2-2,324,
,Ballots Cast,,,Wyandotte,Kansas City 2-2,119,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 2-2,1,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 2-2,109,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 2-2,8,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 2-2,6,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 2-2,99,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 2-2,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 2-2,9,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 2-2,2,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 2-2,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 2-2,103,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 2-2,9,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 2-2,11,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 2-2,103,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 2-2,100,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 2-2,11,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 2-2,103,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 2-2,10,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 2-2,112,
,Registered Voters,,,Wyandotte,Kansas City 2-3,93,
,Ballots Cast,,,Wyandotte,Kansas City 2-3,42,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 2-3,0,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 2-3,37,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 2-3,5,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 2-3,0,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 2-3,34,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 2-3,1,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 2-3,5,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 2-3,1,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 2-3,0,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 2-3,35,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 2-3,5,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 2-3,6,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 2-3,36,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 2-3,33,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 2-3,7,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 2-3,36,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 2-3,5,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 2-3,35,
,Registered Voters,,,Wyandotte,Kansas City 2-4,452,
,Ballots Cast,,,Wyandotte,Kansas City 2-4,153,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 2-4,2,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 2-4,140,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 2-4,8,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 2-4,7,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 2-4,127,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 2-4,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 2-4,11,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 2-4,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 2-4,5,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 2-4,131,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 2-4,9,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 2-4,11,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 2-4,133,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 2-4,135,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 2-4,10,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 2-4,138,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 2-4,10,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 2-4,137,
,Registered Voters,,,Wyandotte,Kansas City 2-5,638,
,Ballots Cast,,,Wyandotte,Kansas City 2-5,281,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 2-5,6,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 2-5,252,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 2-5,19,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 2-5,11,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 2-5,246,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 2-5,0,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 2-5,15,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 2-5,5,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 2-5,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 2-5,241,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 2-5,17,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 2-5,24,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 2-5,245,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 2-5,246,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 2-5,21,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 2-5,248,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 2-5,22,
Valdenia C. Winn,State House,34,Democratic,Wyandotte,Kansas City 2-5,247,
,Registered Voters,,,Wyandotte,Kansas City 3-1,864,
,Ballots Cast,,,Wyandotte,Kansas City 3-1,369,
Chris Clemmons,U.S. House,3,Libertarian,Wyandotte,Kansas City 3-1,13,
Sharice Davids,U.S. House,3,Democratic,Wyandotte,Kansas City 3-1,339,
Kevin Yoder,U.S. House,3,Republican,Wyandotte,Kansas City 3-1,12,
Jeff Caldwell Mary,Governor,,Libertarian,Wyandotte,Kansas City 3-1,12,
Laura Kelly Lynn Rogers,Governor,,Democratic,Wyandotte,Kansas City 3-1,331,
Rick Kloos Nathaniel Kloos,Governor,,Independent,Wyandotte,Kansas City 3-1,2,
Kris Kobach Wink Hartman,Governor,,Republican,Wyandotte,Kansas City 3-1,10,
Greg Orman John Doll,Governor,,Independent,Wyandotte,Kansas City 3-1,8,
Rob Hodgkinson,Secretary of State,,Libertarian,Wyandotte,Kansas City 3-1,7,
"Brian ""BAM"" McClendon",Secretary of State,,Democratic,Wyandotte,Kansas City 3-1,332,
Scott Schwab,Secretary of State,,Republican,Wyandotte,Kansas City 3-1,21,
Derek Schmidt,Attorney General,,Republican,Wyandotte,Kansas City 3-1,14,
Sarah G. Swain,Attorney General,,Democratic,Wyandotte,Kansas City 3-1,342,
Marci Francisco,State Treasurer,,Democratic,Wyandotte,Kansas City 3-1,340,
Jake La Turner,State Treasurer,,Republican,Wyandotte,Kansas City 3-1,15,
Nathaniel McLaughlin,Commissioner of Insurance,,Democratic,Wyandotte,Kansas City 3-1,336,
Vicki Schmidt,Commissioner of Insurance,,Republican,Wyandotte,Kansas City 3-1,17,
Broderick Henderson,State House,35,Democratic,Wyandotte,Kansas City 3-1,329,
,Registered Voters,,,Wyandotte,Kansas City 3-2,898,
,Ballots Cast,,,Wyandotte,Kansas City 3-2,368,
