county,precinct,office,district,party,candidate,votes,Election Night,Advance,Provisional
Lane KS,Dighton City 2,Governor,,L,Keen Umbehr [L],7,5,2,0
Lane KS,Dighton City 3,Governor,,L,Keen Umbehr [L],5,5,0,0
Lane KS,Dighton Twp 1,Governor,,L,Keen Umbehr [L],1,0,0,1
Lane KS,Dighton Twp 2,Governor,,L,Keen Umbehr [L],2,1,1,0
Lane KS,Dighton Twp 3,Governor,,L,Keen Umbehr [L],0,0,0,0
Lane KS,White Rock Twp,Governor,,L,Keen Umbehr [L],1,1,0,0
Lane KS,Wilson Twp,Governor,,L,Keen Umbehr [L],2,2,0,0
Lane KS,Alamota Twp,Governor,,D,Paul Davis [D],8,6,2,0
Lane KS,Cheyenne Twp,Governor,,D,Paul Davis [D],26,22,3,1
Lane KS,Dighton City 1,Governor,,D,Paul Davis [D],58,41,15,2
Lane KS,Dighton City 2,Governor,,D,Paul Davis [D],68,51,16,1
Lane KS,Dighton City 3,Governor,,D,Paul Davis [D],15,9,4,2
Lane KS,Dighton Twp 1,Governor,,D,Paul Davis [D],10,8,0,2
Lane KS,Dighton Twp 2,Governor,,D,Paul Davis [D],15,8,7,0
Lane KS,Dighton Twp 3,Governor,,D,Paul Davis [D],9,6,3,0
Lane KS,White Rock Twp,Governor,,D,Paul Davis [D],6,4,2,0
Lane KS,Wilson Twp,Governor,,D,Paul Davis [D],5,5,0,0
Lane KS,Alamota Twp,Governor,,R,Sam Brownback [R],28,21,6,1
Lane KS,Cheyenne Twp,Governor,,R,Sam Brownback [R],84,71,8,5
Lane KS,Dighton City 1,Governor,,R,Sam Brownback [R],103,70,27,6
Lane KS,Dighton City 2,Governor,,R,Sam Brownback [R],136,109,24,3
Lane KS,Dighton City 3,Governor,,R,Sam Brownback [R],42,37,4,1
Lane KS,Dighton Twp 1,Governor,,R,Sam Brownback [R],31,26,5,0
Lane KS,Dighton Twp 2,Governor,,R,Sam Brownback [R],39,31,8,0
Lane KS,Dighton Twp 3,Governor,,R,Sam Brownback [R],13,9,4,0
Lane KS,White Rock Twp,Governor,,R,Sam Brownback [R],5,5,0,0
Lane KS,Wilson Twp,Governor,,R,Sam Brownback [R],28,22,6,0
Lane KS,Alamota Twp,Insurance,,D,Dennis Anderson [D],8,6,2,0
Lane KS,Cheyenne Twp,Insurance,,D,Dennis Anderson [D],11,9,2,0
Lane KS,Dighton City 1,Insurance,,D,Dennis Anderson [D],33,24,9,0
Lane KS,Dighton City 2,Insurance,,D,Dennis Anderson [D],34,24,10,0
Lane KS,Dighton City 3,Insurance,,D,Dennis Anderson [D],6,3,1,2
Lane KS,Dighton Twp 1,Insurance,,D,Dennis Anderson [D],10,5,3,2
Lane KS,Dighton Twp 2,Insurance,,D,Dennis Anderson [D],6,2,4,0
Lane KS,Dighton Twp 3,Insurance,,D,Dennis Anderson [D],4,3,1,0
Lane KS,White Rock Twp,Insurance,,D,Dennis Anderson [D],3,2,1,0
Lane KS,Wilson Twp,Insurance,,D,Dennis Anderson [D],2,2,0,0
Lane KS,Alamota Twp,Insurance,,R,Ken Selzer [R],25,20,4,1
Lane KS,Cheyenne Twp,Insurance,,R,Ken Selzer [R],98,83,9,6
Lane KS,Dighton City 1,Insurance,,R,Ken Selzer [R],128,86,34,8
Lane KS,Dighton City 2,Insurance,,R,Ken Selzer [R],160,127,29,4
Lane KS,Dighton City 3,Insurance,,R,Ken Selzer [R],57,48,7,2
Lane KS,Dighton Twp 1,Insurance,,R,Ken Selzer [R],30,27,2,1
Lane KS,Dighton Twp 2,Insurance,,R,Ken Selzer [R],48,37,11,0
Lane KS,Dighton Twp 3,Insurance,,R,Ken Selzer [R],18,12,6,0
Lane KS,White Rock Twp,Insurance,,R,Ken Selzer [R],8,8,0,0
Lane KS,Wilson Twp,Insurance,,R,Ken Selzer [R],30,24,6,0
Lane KS,Alamota Twp,Secretary,,D,Jean Schodorf [D],6,4,2,0
Lane KS,Cheyenne Twp,Secretary,,D,Jean Schodorf [D],21,18,3,0
Lane KS,Dighton City 1,Secretary,,D,Jean Schodorf [D],46,32,14,0
Lane KS,Dighton City 2,Secretary,,D,Jean Schodorf [D],44,31,12,1
Lane KS,Dighton City 3,Secretary,,D,Jean Schodorf [D],12,6,4,2
Lane KS,Dighton Twp 1,Secretary,,D,Jean Schodorf [D],13,7,3,3
Lane KS,Dighton Twp 2,Secretary,,D,Jean Schodorf [D],11,5,6,0
Lane KS,Dighton Twp 3,Secretary,,D,Jean Schodorf [D],6,5,1,0
Lane KS,White Rock Twp,Secretary,,D,Jean Schodorf [D],5,4,1,0
Lane KS,Wilson Twp,Secretary,,D,Jean Schodorf [D],6,6,0,0
Lane KS,Alamota Twp,Secretary,,R,Kris Kobach [R],29,22,6,1
Lane KS,Cheyenne Twp,Secretary,,R,Kris Kobach [R],90,76,8,6
Lane KS,Dighton City 1,Secretary,,R,Kris Kobach [R],125,85,31,9
Lane KS,Dighton City 2,Secretary,,R,Kris Kobach [R],164,132,29,3
Lane KS,Dighton City 3,Secretary,,R,Kris Kobach [R],54,46,6,2
Lane KS,Dighton Twp 1,Secretary,,R,Kris Kobach [R],28,25,3,0
Lane KS,Dighton Twp 2,Secretary,,R,Kris Kobach [R],44,34,10,0
Lane KS,Dighton Twp 3,Secretary,,R,Kris Kobach [R],16,10,6,0
Lane KS,White Rock Twp,Secretary,,R,Kris Kobach [R],7,6,1,0
Lane KS,Wilson Twp,Secretary,,R,Kris Kobach [R],28,22,6,0
Lane KS,Alamota Twp,SR118,H118,R,Don Hineman [R],25,19,5,1
Lane KS,Cheyenne Twp,SR118,H118,R,Don Hineman [R],101,86,9,6
Lane KS,Dighton City 1,SR118,H118,R,Don Hineman [R],156,105,42,9
Lane KS,Dighton City 2,SR118,H118,R,Don Hineman [R],198,154,40,4
Lane KS,Dighton City 3,SR118,H118,R,Don Hineman [R],61,47,10,4
Lane KS,Dighton Twp 1,SR118,H118,R,Don Hineman [R],40,31,6,3
Lane KS,Dighton Twp 2,SR118,H118,R,Don Hineman [R],55,40,15,0
Lane KS,Dighton Twp 3,SR118,H118,R,Don Hineman [R],19,12,7,0
Lane KS,White Rock Twp,SR118,H118,R,Don Hineman [R],10,9,1,0
Lane KS,Wilson Twp,SR118,H118,R,Don Hineman [R],31,25,6,0
Lane KS,Alamota Twp,Treasurer,,D,Carmen Alldritt [D],6,4,2,0
Lane KS,Cheyenne Twp,Treasurer,,D,Carmen Alldritt [D],8,7,1,0
Lane KS,Dighton City 1,Treasurer,,D,Carmen Alldritt [D],26,17,9,0
Lane KS,Dighton City 2,Treasurer,,D,Carmen Alldritt [D],29,16,12,1
Lane KS,Dighton City 3,Treasurer,,D,Carmen Alldritt [D],5,2,1,2
Lane KS,Dighton Twp 1,Treasurer,,D,Carmen Alldritt [D],9,5,2,2
Lane KS,Dighton Twp 2,Treasurer,,D,Carmen Alldritt [D],5,1,4,0
Lane KS,Dighton Twp 3,Treasurer,,D,Carmen Alldritt [D],3,2,1,0
Lane KS,White Rock Twp,Treasurer,,D,Carmen Alldritt [D],1,1,0,0
Lane KS,Wilson Twp,Treasurer,,D,Carmen Alldritt [D],2,2,0,0
Lane KS,Alamota Twp,Treasurer,,R,Ron Estes [R],27,20,6,1
Lane KS,Cheyenne Twp,Treasurer,,R,Ron Estes [R],102,87,9,6
Lane KS,Dighton City 1,Treasurer,,R,Ron Estes [R],139,97,34,8
Lane KS,Dighton City 2,Treasurer,,R,Ron Estes [R],173,142,28,3
Lane KS,Dighton City 3,Treasurer,,R,Ron Estes [R],59,49,8,2
Lane KS,Dighton Twp 1,Treasurer,,R,Ron Estes [R],31,27,3,1
Lane KS,Dighton Twp 2,Treasurer,,R,Ron Estes [R],50,38,12,0
Lane KS,Dighton Twp 3,Treasurer,,R,Ron Estes [R],19,13,6,0
Lane KS,White Rock Twp,Treasurer,,R,Ron Estes [R],11,9,2,0
Lane KS,Wilson Twp,Treasurer,,R,Ron Estes [R],31,25,6,0
Lane KS,Alamota Twp,U S Senate,,I,Greg Orman [I],7,6,1,0
Lane KS,Cheyenne Twp,U S Senate,,I,Greg Orman [I],23,18,3,2
Lane KS,Dighton City 1,U S Senate,,I,Greg Orman [I],47,32,14,1
Lane KS,Dighton City 2,U S Senate,,I,Greg Orman [I],43,32,10,1
Lane KS,Dighton City 3,U S Senate,,I,Greg Orman [I],12,8,2,2
Lane KS,Dighton Twp 1,U S Senate,,I,Greg Orman [I],8,5,2,1
Lane KS,Dighton Twp 2,U S Senate,,I,Greg Orman [I],8,2,6,0
Lane KS,Dighton Twp 3,U S Senate,,I,Greg Orman [I],4,3,1,0
Lane KS,White Rock Twp,U S Senate,,I,Greg Orman [I],3,2,1,0
Lane KS,Wilson Twp,U S Senate,,I,Greg Orman [I],4,4,0,0
Lane KS,Alamota Twp,U S Senate,,R,Pat Roberts [R],27,19,7,1
Lane KS,Cheyenne Twp,U S Senate,,R,Pat Roberts [R],89,78,8,3
Lane KS,Dighton City 1,U S Senate,,R,Pat Roberts [R],120,84,29,7
Lane KS,Dighton City 2,U S Senate,,R,Pat Roberts [R],158,127,28,3
Lane KS,Dighton City 3,U S Senate,,R,Pat Roberts [R],50,40,8,2
Lane KS,Dighton Twp 1,U S Senate,,R,Pat Roberts [R],32,28,3,1
Lane KS,Dighton Twp 2,U S Senate,,R,Pat Roberts [R],46,36,10,0
Lane KS,Dighton Twp 3,U S Senate,,R,Pat Roberts [R],18,12,6,0
Lane KS,White Rock Twp,U S Senate,,R,Pat Roberts [R],9,8,1,0
Lane KS,Wilson Twp,U S Senate,,R,Pat Roberts [R],31,25,6,0
Lane KS,Alamota Twp,U S Senate,,L,Randall Batson [L],1,0,1,0
Lane KS,Cheyenne Twp,U S Senate,,L,Randall Batson [L],3,2,0,1
Lane KS,Dighton City 1,U S Senate,,L,Randall Batson [L],5,4,1,0
Lane KS,Dighton City 2,U S Senate,,L,Randall Batson [L],9,5,4,0
Lane KS,Dighton City 3,U S Senate,,L,Randall Batson [L],3,3,0,0
Lane KS,Dighton Twp 1,U S Senate,,L,Randall Batson [L],2,0,1,1
Lane KS,Dighton Twp 2,U S Senate,,L,Randall Batson [L],1,1,0,0
Lane KS,Dighton Twp 3,U S Senate,,L,Randall Batson [L],0,0,0,0
Lane KS,White Rock Twp,U S Senate,,L,Randall Batson [L],0,0,0,0
Lane KS,Wilson Twp,U S Senate,,L,Randall Batson [L],1,1,0,0
