county,precinct,office,district,party,candidate,votes,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Governor,,D,Paul Davis,42,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Governor,,D,Paul Davis,21,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Governor,,D,Paul Davis,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Governor,,D,Paul Davis,30,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Governor,,D,Paul Davis,35,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Governor,,D,Paul Davis,44,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Governor,,D,Paul Davis,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Governor,,D,Paul Davis,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Governor,,D,Paul Davis,20,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Governor,,D,Paul Davis,23,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Governor,,D,Paul Davis,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Governor,,D,Paul Davis,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Governor,,L,Keen Umbehr,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Governor,,L,Keen Umbehr,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Governor,,L,Keen Umbehr,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Governor,,L,Keen Umbehr,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Governor,,L,Keen Umbehr,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Governor,,L,Keen Umbehr,6,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Governor,,L,Keen Umbehr,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Governor,,L,Keen Umbehr,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Governor,,L,Keen Umbehr,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Governor,,L,Keen Umbehr,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Governor,,L,Keen Umbehr,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Governor,,L,Keen Umbehr,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Secretary,,R,Kris Kobach,88,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Secretary,,R,Kris Kobach,77,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Secretary,,R,Kris Kobach,17,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Secretary,,R,Kris Kobach,50,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Secretary,,R,Kris Kobach,60,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Secretary,,R,Kris Kobach,163,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Secretary,,R,Kris Kobach,49,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Secretary,,R,Kris Kobach,21,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Secretary,,R,Kris Kobach,66,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Secretary,,R,Kris Kobach,81,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Secretary,,R,Kris Kobach,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Secretary,,R,Kris Kobach,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Secretary,,D,Jean Schodorf,32,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Secretary,,D,Jean Schodorf,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Secretary,,D,Jean Schodorf,7,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Secretary,,D,Jean Schodorf,20,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Secretary,,D,Jean Schodorf,28,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Secretary,,D,Jean Schodorf,32,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Secretary,,D,Jean Schodorf,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Secretary,,D,Jean Schodorf,6,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Secretary,,D,Jean Schodorf,18,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Secretary,,D,Jean Schodorf,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Secretary,,D,Jean Schodorf,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Secretary,,D,Jean Schodorf,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Attorney,,R,Derek Schmidt,94,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Attorney,,R,Derek Schmidt,86,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Attorney,,R,Derek Schmidt,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Attorney,,R,Derek Schmidt,55,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Attorney,,R,Derek Schmidt,73,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Attorney,,R,Derek Schmidt,184,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Attorney,,R,Derek Schmidt,54,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Attorney,,R,Derek Schmidt,26,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Attorney,,R,Derek Schmidt,75,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Attorney,,R,Derek Schmidt,86,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Attorney,,R,Derek Schmidt,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Attorney,,R,Derek Schmidt,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Attorney,,D,AJ Kotich,25,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Attorney,,D,AJ Kotich,8,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Attorney,,D,AJ Kotich,4,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Attorney,,D,AJ Kotich,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Attorney,,D,AJ Kotich,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Attorney,,D,AJ Kotich,11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Attorney,,D,AJ Kotich,7,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Attorney,,D,AJ Kotich,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Attorney,,D,AJ Kotich,6,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Attorney,,D,AJ Kotich,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Attorney,,D,AJ Kotich,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Attorney,,D,AJ Kotich,5,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Treasurer,,R,Ron Estes,101,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Treasurer,,R,Ron Estes,80,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Treasurer,,R,Ron Estes,17,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Treasurer,,R,Ron Estes,57,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Treasurer,,R,Ron Estes,69,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Treasurer,,R,Ron Estes,180,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Treasurer,,R,Ron Estes,52,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Treasurer,,R,Ron Estes,25,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Treasurer,,R,Ron Estes,81,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Treasurer,,R,Ron Estes,85,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Treasurer,,R,Ron Estes,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Treasurer,,R,Ron Estes,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Treasurer,,D,Carmen Alldritt,20,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Treasurer,,D,Carmen Alldritt,11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Treasurer,,D,Carmen Alldritt,6,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Treasurer,,D,Carmen Alldritt,13,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Treasurer,,D,Carmen Alldritt,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Treasurer,,D,Carmen Alldritt,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Treasurer,,D,Carmen Alldritt,7,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Treasurer,,D,Carmen Alldritt,2,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Treasurer,,D,Carmen Alldritt,5,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Treasurer,,D,Carmen Alldritt,8,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Treasurer,,D,Carmen Alldritt,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Treasurer,,D,Carmen Alldritt,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Insurance,,R,Ken Selzer,91,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Insurance,,R,Ken Selzer,75,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Insurance,,R,Ken Selzer,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Insurance,,R,Ken Selzer,52,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Insurance,,R,Ken Selzer,61,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Insurance,,R,Ken Selzer,166,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Insurance,,R,Ken Selzer,50,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Insurance,,R,Ken Selzer,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Insurance,,R,Ken Selzer,66,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Insurance,,R,Ken Selzer,80,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Insurance,,R,Ken Selzer,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Insurance,,R,Ken Selzer,12,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,Insurance,,D,Dennis Anderson,28,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,Insurance,,D,Dennis Anderson,15,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,Insurance,,D,Dennis Anderson,7,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,Insurance,,D,Dennis Anderson,16,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Insurance,,D,Dennis Anderson,19,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,Insurance,,D,Dennis Anderson,20,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,Insurance,,D,Dennis Anderson,9,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Insurance,,D,Dennis Anderson,5,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,Insurance,,D,Dennis Anderson,14,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,Insurance,,D,Dennis Anderson,10,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,Insurance,,D,Dennis Anderson,0,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,Insurance,,D,Dennis Anderson,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,SR117,H117,R,John Ewy [R],113,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1 twp,SR117,H117,R,John Ewy [R],82,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,SR117,H117,R,John Ewy [R],18,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,SR117,H117,R,John Ewy [R],60,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,SR117,H117,R,John Ewy [R],71,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland,SR117,H117,R,John Ewy [R],184,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,SR117,H117,R,John Ewy [R],49,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,SR117,H117,R,John Ewy [R],25,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville,SR117,H117,R,John Ewy [R],81,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Mullinville twp,SR117,H117,R,John Ewy [R],85,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Belvidere twp,SR117,H117,R,John Ewy [R],11,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Prov,SR117,H117,R,John Ewy [R],16,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,Congress 4,CD4,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 11A,Governor,,wri,Abby Hoffman,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I TWP,Treasurer,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,Treasurer,,wri,Marsha Kline,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,State Rep,,wri,Stacey Barnes,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I TWP,State Rep,,wri,Dennis McKinney,3,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center 1A twp,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center I I,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center IIA ,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Center II,State Rep,,wri,Bob Dixon,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland twp,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,State Rep,,wri,Ruth Teichman,1,,,,,,,,,,,,,,,,,,,,,,,
Kiowa,Haviland A twp,State Rep,,wri,Dennis McKinney,1,,,,,,,,,,,,,,,,,,,,,,,
