county,precinct,office,district,party,candidate,votes,vtd
TREGO,WaKeeney City East Precinct,U.S. Senate,,independent,"Orman, Greg",47,000080
TREGO,WaKeeney City East Precinct,U.S. Senate,,Libertarian,"Batson, Randall",12,000080
TREGO,WaKeeney City East Precinct,U.S. Senate,,Republican,"Roberts, Pat",145,000080
TREGO,WaKeeney City West Precinct,U.S. Senate,,independent,"Orman, Greg",75,000090
TREGO,WaKeeney City West Precinct,U.S. Senate,,Libertarian,"Batson, Randall",13,000090
TREGO,WaKeeney City West Precinct,U.S. Senate,,Republican,"Roberts, Pat",159,000090
TREGO,WaKeeney Township,U.S. Senate,,independent,"Orman, Greg",48,000100
TREGO,WaKeeney Township,U.S. Senate,,Libertarian,"Batson, Randall",8,000100
TREGO,WaKeeney Township,U.S. Senate,,Republican,"Roberts, Pat",128,000100
TREGO,Wilcox Township,U.S. Senate,,independent,"Orman, Greg",4,000110
TREGO,Wilcox Township,U.S. Senate,,Libertarian,"Batson, Randall",2,000110
TREGO,Wilcox Township,U.S. Senate,,Republican,"Roberts, Pat",23,000110
